iter	Passed	Remaining
0	118	3535211	302	45004
2	444	44014
3	548	40619
4	657	38798
5	778	3815266	932	39031
7	1058	38629
8	1198	38758
9	1350	39166
10	1554	40841
11	1774	42596
12	1888	41685
13	1982	40496
14	2082	39551515	2217	39358
16	2278	37931717	2388	37417
18	2448	36211119	2517	35252220	2614	3474221	2733	34545
22	2894	34859
23	3042	34993
24	3157	34737
25	3254	34292
26	3364	34023
27	3501	34011
28	3607	33712
29	3684	33157
30	3762	32646
31	3845	32206
32	3986	32250
33	4100	32077
34	4274	32367
35	4360	31979
36	4426	31467
37	4478	30874
38	4533	30340
39	4600	29906
40	4660	29439
41	4727	29040
42	4804	28715
43	4912	28579
44	4982	28236
45	5055	27916
46	5132	27629
47	5178	27185
48	5230	26793
49	5335	26679
50	5434	26532
51	5487	26169
52	5541	25823
53	5587	25453
54	5630	25081
55	5670	24708
56	5712	24353
57	5748	23984
58	5793	23664
59	5830	23320
60	5877	23028
61	5908	22679
62	5947	22372
63	5984	22068
64	6029	21797
65	6062	21494
66	6099	21210
67	6136	20936
68	6177	20682
69	6218	20431
70	6255	20175
71	6287	19911
72	6336	19703
73	6375	19472
74	6420	19262
75	6457	19032
76	6494	18808
77	6528	18579
78	6560	18353
79	6592	18130
80	6623	17907
81	6660	17708
82	6700	17517
83	6738	17327
84	6775	17139
85	6822	16978
86	6861	16798
87	6907	16639
88	6946	16468
89	6977	16279
90	7011	16102
91	7044	15926
92	7075	15749
93	7107	15576
94	7139	15406
95	7163	15223
96	7194	15056
97	7222	14887
98	7253	14727
99	7281	14562
100	7310	14403
101	7336	14242
102	7362	14081
103	7397	13940
104	7428	13794
105	7464	13662
106	7495	13519
107	7527	13381
108	7558	13244
109	7590	13110
110	7620	12975
111	7656	12851
112	7686	12720
113	7716	12590
114	7749	12466
115	7783	12345
116	7814	12223
117	7842	12096
118	7868	11968
119	7900	11851
120	7931	11733
121	7962	11617
122	8000	11513
123	8030	11398
124	8061	11285
125	8091	11174
126	8121	11062
127	8153	10955
128	8184	10848
129	8207	10732
130	8238	10628
131	8270	10525
132	8300	10422
133	8336	10326
134	8365	10224
135	8394	10123
136	8426	10026
137	8456	9927
138	8488	9832
139	8524	9741
140	8557	9649
141	8588	9556
142	8617	9461
143	8651	9372
144	8684	9283
145	8713	9190
146	8748	9105
147	8780	9017
148	8809	8927
149	8845	8845
150	8875	8758
151	8908	8674
152	8940	8589
153	8965	8499
154	8995	8415
155	9017	8324
156	9054	8246
157	9085	8165
158	9114	8082
159	9144	8001
160	9172	7919
161	9207	7843
162	9236	7763
163	9263	7682
164	9296	7606
165	9323	7526
166	9350	7447
167	9376	7366
168	9412	7296
169	9442	7221
170	9474	7147
171	9508	7076
172	9537	7001
173	9574	6933
174	9603	6859
175	9629	6784
176	9656	6710
177	9686	6639
178	9714	6566
179	9745	6496
180	9779	6429
181	9811	6361
182	9845	6294
183	9880	6228
184	9915	6163
185	9949	6098
186	9980	6030
187	10015	5966
188	10050	5902
189	10083	5837
190	10115	5772
191	10141	5704
192	10167	5637
193	10204	5575
194	10233	5510
195	10264	5446
196	10297	5384
197	10327	5320
198	10360	5258
199	10395	5197
200	10424	5134
201	10457	5073
202	10492	5013
203	10523	4952
204	10553	4890
205	10587	4831
206	10622	4772
207	10656	4713
208	10692	4655
209	10723	4595
210	10753	4535
211	10778	4474
212	10808	4414
213	10840	4356
214	10870	4297
215	10898	4238
216	10927	4179
217	10957	4121
218	10989	4064
219	11012	4004
220	11044	3948
221	11078	3892
222	11110	3836
223	11144	3781
224	11181	3727
225	11210	3670
226	11240	3614
227	11270	3559
228	11299	3503
229	11329	3448
230	11362	3393
231	11386	3337
232	11411	3281
233	11437	3225
234	11468	3172
235	11498	3118
236	11525	3063
237	11553	3009
238	11586	2957
239	11620	2905
240	11650	2852
241	11686	2800
242	11722	2749
243	11754	2697
244	11785	2645
245	11817	2593
246	11846	2542
247	11882	2491
248	11917	2440
249	11948	2389
250	11983	2339
251	12012	2288
252	12041	2236
253	12066	2185
254	12098	2135
255	12128	2084
256	12155	2033
257	12181	1983
258	12220	1934
259	12245	1883
260	12266	1832
261	12292	1782
262	123263	1231263	123264	1234264	123265	1237265	123266	1239266	124267	1242267	124268	1245268	124269	1248269	125270	1251270	125271	1253271	125272	1257272	125273	1260273	126274	12633	1148
275	12658	1100
276	12685	1053
277	12718	1006
278	12750	959
279	1277279	12280	1279280	12281	1281281	12282	1283282	12283	1285283	12284	1287284	12285	12894	631
286	12912	584
287	12932	538
288	12951	492
289	12968	447
290	12986	401
291	13005	356
292	13023	311
293	13041	266
294	13058	221
295	13076	176
296	13095	132
297	13114	88
298	13133	43
299	1315299	13157	0
